sample_idx,segment_idx,ee_x,ee_y,base_x,base_y,j1_x,j1_y,j2_x,j2_y,j3_x,j3_y,theta1,theta2,theta3
39,0,286.48495791075857,19.57947090561576,15.0,15.0,162.38166535146274,-69.72688309048931,296.32384397843936,17.79164514587383,286.48495791075857,19.57947090561576,-0.5217446596189488,1.100510034377976,2.383078326648998
40,0,286.1244926781989,19.77333254807066,15.0,15.0,162.24304522474998,-69.96755635501255,295.94948999040946,17.91069253586859,286.1244926781989,19.77333254807066,-0.5233784208232909,1.1048318007240243,2.37278105226687
41,0,285.761113252567,19.968761471373746,15.0,15.0,162.1034413939024,-70.2090225860544,295.5715337360399,18.03081153975667,285.761113252567,19.968761471373746,-0.5250191142771135,1.1091792267735818,2.362403533042343
42,0,285.3951263910283,20.16559269859356,15.0,15.0,161.9629777129422,-70.45105723012007,295.19028197180523,18.151907731083853,285.3951263910283,20.16559269859356,-0.5266652361984603,1.1135485348887197,2.351954518345956
43,0,285.0268388507484,20.363661252798828,15.0,15.0,161.82177776636956,-70.69343950106557,294.80604339309957,18.273886499659653,285.0268388507484,20.363661252798828,-0.5283153028641396,1.1179359792886392,2.34144274574988
44,0,284.6565573888927,20.562802157058023,15.0,15.0,161.6799648419692,-70.93595239455183,294.4191286623869,18.39665300938954,284.6565573888927,20.562802157058023,-0.52996785072393,1.122337845670233,2.3308769415215664
45,0,284.2845887626268,20.762850434439876,15.0,15.0,161.53766190275672,-71.17838269585569,294.02985043241904,18.52011215562119,284.2845887626268,20.762850434439876,-0.5316214364837945,1.126750450770699,2.320265821144345
46,0,283.9112397291162,20.96364110801295,15.0,15.0,161.3949915581536,-71.42052098135103,293.63852336452993,18.644168522227076,283.9112397291162,20.96364110801295,-0.5332746371596911,1.1311701418777427,2.3096180898610355
47,0,283.5368170455262,21.165009200845855,15.0,15.0,161.25207603449357,-71.6621616139403,293.24546414202536,18.76872633865304,283.5368170455262,21.165009200845855,-0.5349260501033497,1.1355932962925754,2.2989424432367187
48,0,283.16162746902256,21.36678973600726,15.0,15.0,161.10903714497917,-71.90310273268209,292.85099147869107,18.8936894371637,283.16162746902256,21.36678973600726,-0.5365742930011439,1.1400163207505112,2.2882475677370224
49,0,282.78597775677065,21.56881773656574,15.0,15.0,160.965996259219,-72.14314623683075,292.45542612245174,19.018961210518228,282.78597775677065,21.56881773656574,-0.5382180038469865,1.1444356508036404,2.277542141318333
50,0,282.410174665936,21.770928225589884,15.0,15.0,160.8230742724929,-72.38209776446786,292.0590908542215,19.144444570312018,282.410174665936,21.770928225589884,-0.5398558408899289,1.1488477501696415,2.2668348340265885
51,0,282.03452495368407,21.97295622614836,15.0,15.0,160.68039157490367,-72.61976666587704,291.6623104819935,19.270041906219504,282.03452495368407,21.97295622614836,-0.5414864825569496,1.1532491100504527,2.2561343086013954
52,0,281.6593353771804,22.17473676130971,15.0,15.0,160.5380680205871,-72.85596597178224,291.2654118302231,19.39565504637241,281.6593353771804,22.17473676130971,-0.5431086273512021,1.1576362484241591,2.2454492210823864
53,0,281.28491269359046,22.376104854142657,15.0,15.0,160.39622289716542,-73.09051235654036,290.8687237245683,19.52118521910795,281.28491269359046,22.376104854142657,-0.5447209937257896,1.1620057093130898,2.2347882214149015
54,0,280.9115636600798,22.576895527715706,15.0,15.0,160.25497489563833,-73.32322609635291,290.472576972056,19.64653301631637,280.9115636600798,22.576895527715706,-0.5463223199329537,1.1663540620307877,2.2241599540522046
55,0,280.5395950338139,22.77694380509761,15.0,15.0,160.11444208091942,-73.55393102253272,290.07730433675033,19.77159835861741,280.5395950338139,22.77694380509761,-0.5479113638483678,1.1706779004101682,2.213573058551619
56,0,280.1693135719582,22.976084709356783,15.0,15.0,159.97474186323217,-73.78245446983992,289.6832405110081,19.89628046258707,280.1693135719582,22.976084709356783,-0.5494869027700725,1.1749738420148663,2.2030361701621146
57,0,279.8010260316783,23.174153263562005,15.0,15.0,159.83599097059124,-74.00862721987578,289.2907220824069,20.020477810255798,279.8010260316783,23.174153263562005,-0.5510477331914141,1.1792385273354657,2.192557920401021
58,0,279.4350391701396,23.37098449078187,15.0,15.0,159.6983054225995,-74.23228343950474,288.9000874964429,20.144088121088103,279.4350391701396,23.37098449078187,-0.5525926705472252,1.1834686189720132,2.182146937617688
59,0,279.0716597445077,23.566413414084955,15.0,15.0,159.56180050580016,-74.45326061425166,288.5116770150969,20.267008326652046,279.0716597445077,23.566413414084955,-0.5541205489323211,1.187660800803915,2.1718118475420907
60,0,278.711194511948,23.76027505653984,15.0,15.0,159.42659075082636,-74.67139947660746,288.1258326713713,20.389134548176173,278.711194511948,23.76027505653984,-0.5556302207912982,1.1918117771480943,2.1615612738164667
61,0,278.35395022962615,23.95240444121523,15.0,15.0,159.29278991159558,-74.88654392915626,287.7428982199083,20.510362077185192,278.35395022962615,23.95240444121523,-0.5571205565784818,1.1959182719059789,2.15140383850828
